CODI_CAPA,CAPA_GENERICA,NOM_CAPA,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI,ADRECA
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb carrer Provença,Eixample,la Dreta de l'Eixample,"C Nàpols, 243"
P001,Internet i comunicacions,WiFi BCN,Punt Multimèdia de Sants - Montjuïc *Casa del Mig,Sants-Montjuïc,Sants,"C Muntadas, 1*5"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Cartagena amb carrer de Josep Ciurana,Horta-Guinardó,el Baix Guinardó,"C Cartagena, 393"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Ferrocarril amb el Passeig Calvell,Sant Martí,el Poblenou,"Pg Calvell, 35"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer del Consell de Cent,Eixample,la Nova Esquerra de l'Eixample,"C Calàbria, 137"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla dels carrers Aribau amb carrer del Consell de Cent,Eixample,l'Antiga Esquerra de l'Eixample,"C Aribau, 31"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Via Laietana amb l'Avinguda de la Catedral,Ciutat Vella,el Barri Gòtic,"Pl Antoni Maura, 6"
P001,Internet i comunicacions,WiFi BCN,Centre Ton i Guida,Nou Barris,les Roquetes,"C Romaní, 6"
P001,Internet i comunicacions,WiFi BCN,Centre Artesà Tradicionàrius,Gràcia,la Vila de Gràcia,"Trvs Sant Antoni, 6*8"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Llacuna amb Sancho de Àvila,Sant Martí,el Poblenou,"C Llacuna, 106"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Sardenya,Gràcia,el Camp d'en Grassot i Gràcia Nova,"C Sardenya, 549*553"
P001,Internet i comunicacions,WiFi BCN,Centre Esportiu Municipal Perill,Gràcia,la Vila de Gràcia,"C Perill, 16*22"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a l'Avinguda Josep Vicenç Foix 98,Sarrià-Sant Gervasi,Sarrià,"Av J V Foix, 100"
P001,Internet i comunicacions,WiFi BCN,Centre Cívic Casa Groga,Horta-Guinardó,Sant Genís dels Agudells,"Av Jordà, 27"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bilbao amb  Llull,Sant Martí,el Poblenou,"C Bilbao, 32"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla de la Rambla de Poblenou amb el Passeig Calvell,Sant Martí,el Poblenou,"Rbla Poblenou, 2"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Trafalgar amb Ortigosa,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","C Trafalgar, 30"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Mallorca amb Sicília,Eixample,la Sagrada Família,"Pl Sagrada Família, 26"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Jonqueres amb Ramon Mas,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","Via Laietana, 54"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Bailén amb Travessera de Gràcia,Gràcia,la Vila de Gràcia,"C Bailèn, 237"
P001,Internet i comunicacions,WiFi BCN,Punt de connexió Barcelona WiFi a la cruïlla del carrer Calvet amb carrer de la Reina Victòria,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,"C Calvet, 82"
P001,Internet i comunicacions,WiFi BCN,Centre de Barri Can Clos,Sants-Montjuïc,la Marina de Port,"Pl Mig de Can Clos, 7"
